,color_entropy
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10303.jpg,23.383255
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10304.jpg,22.818314
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10297.jpg,23.317001
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10305.jpg,22.393227
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10309.jpg,21.273653
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10312.jpg,22.199852
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10306.jpg,23.299952
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10315.jpg,22.585827
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10316.jpg,22.502562
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10313.jpg,22.42251
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10308.jpg,23.30507
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10320.jpg,22.94115
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10323.jpg,23.132393
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10317.jpg,21.508564
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10324.jpg,21.881607
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10332.jpg,22.904913
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10333.jpg,17.798561
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10328.jpg,19.736214
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10334.jpg,21.964552
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10337.jpg,18.217566
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10342.jpg,22.657045
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10338.jpg,22.83561
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10343.jpg,22.38897
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10339.jpg,22.979376
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10346.jpg,21.375727
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10348.jpg,20.113483
